2025-12-31 at 13:39:43 | INFO | Бот запущен...
2025-12-31 at 13:39:43 | INFO | Бот успешно запущен.
2025-12-31 at 13:45:20 | INFO | Бот запущен...
2025-12-31 at 13:45:20 | INFO | Бот успешно запущен.
2025-12-31 at 13:48:53 | INFO | Бот запущен...
2025-12-31 at 13:48:53 | INFO | Бот успешно запущен.
2026-01-02 at 09:46:24 | INFO | Бот запущен...
2026-01-02 at 09:46:24 | INFO | Бот успешно запущен.
2026-01-02 at 09:56:23 | INFO | Бот запущен...
2026-01-02 at 09:56:25 | INFO | Бот успешно запущен.
2026-01-02 at 09:56:25 | SUCCESS | Вебхук установлен: https://w722187j-8000.euw.devtunnels.ms/webhook
2026-01-02 at 09:59:32 | INFO | Бот остановлен...
2026-01-02 at 09:59:33 | ERROR | Бот остановлен!
2026-01-02 at 10:00:09 | INFO | Бот запущен...
2026-01-02 at 10:00:10 | INFO | Бот успешно запущен.
2026-01-02 at 10:00:10 | SUCCESS | Вебхук установлен: https://w722187j-8000.euw.devtunnels.ms/webhook
2026-01-02 at 10:07:41 | INFO | Бот остановлен...
2026-01-02 at 10:07:46 | ERROR | Бот остановлен!
2026-01-02 at 10:14:08 | INFO | Бот запущен...
2026-01-02 at 10:14:09 | INFO | Бот успешно запущен.
2026-01-02 at 10:14:09 | SUCCESS | Вебхук установлен: https://w722187j-8000.euw.devtunnels.ms/webhook
2026-01-02 at 10:14:10 | INFO | Бот остановлен...
2026-01-02 at 10:14:10 | ERROR | Бот остановлен!
2026-01-02 at 10:19:19 | INFO | Бот запущен...
2026-01-02 at 10:19:20 | INFO | Бот успешно запущен.
2026-01-02 at 10:20:16 | INFO | Бот запущен...
2026-01-02 at 10:20:19 | INFO | Бот успешно запущен.
2026-01-02 at 10:20:19 | SUCCESS | Вебхук установлен: https://clvnfxh3-8000.euw.devtunnels.ms/webhook
2026-01-02 at 10:50:19 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 11:20:19 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 11:27:20 | INFO | Бот остановлен...
2026-01-02 at 11:27:22 | ERROR | Бот остановлен!
2026-01-02 at 11:27:50 | INFO | Бот запущен...
2026-01-02 at 11:27:53 | INFO | Бот успешно запущен.
2026-01-02 at 11:27:53 | SUCCESS | Вебхук установлен: https://clvnfxh3-8000.euw.devtunnels.ms/webhook
2026-01-02 at 11:57:53 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 12:04:47 | INFO | Бот остановлен...
2026-01-02 at 12:04:48 | ERROR | Бот остановлен!
2026-01-02 at 12:05:04 | INFO | Бот запущен...
2026-01-02 at 12:05:06 | INFO | Бот успешно запущен.
2026-01-02 at 12:05:06 | SUCCESS | Вебхук установлен: https://clvnfxh3-8000.euw.devtunnels.ms/webhook
2026-01-02 at 12:13:03 | INFO | Получен запрос с вебхука.
2026-01-02 at 12:13:03 | WARNING | Пустой запрос.
2026-01-02 at 12:21:09 | INFO | Бот запущен...
2026-01-02 at 12:21:12 | INFO | Бот успешно запущен.
2026-01-02 at 12:22:29 | INFO | Бот запущен...
2026-01-02 at 12:22:31 | INFO | Бот успешно запущен.
2026-01-02 at 12:22:31 | SUCCESS | Вебхук установлен: https://gh01c6ls-8000.euw.devtunnels.ms/webhook
2026-01-02 at 12:22:51 | INFO | Получен запрос с вебхука.
